Lot,Start,Finish,Line,Materials,TypeIdx
Lot_94,2025-09-14 08:00:00,2025-09-14 08:30:00,Line_0,2 & 17,32
Lot_5,2025-09-14 09:10:00,2025-09-14 09:40:00,Line_0,20 & 22,4
Lot_51,2025-09-14 10:40:00,2025-09-14 11:10:00,Line_0,26 & 27,21
Lot_11,2025-09-14 11:40:00,2025-09-14 12:10:00,Line_0,1 & 6,8
Lot_50,2025-09-14 12:20:00,2025-09-14 12:50:00,Line_0,3 & 29,7
Lot_100,2025-09-14 13:00:00,2025-09-14 13:30:00,Line_0,4 & 26,33
Lot_99,2025-09-14 13:50:00,2025-09-14 14:20:00,Line_0,3 & 21,18
Lot_98,2025-09-14 16:30:00,2025-09-14 17:00:00,Line_0,2 & 17,32
Lot_97,2025-09-14 08:00:00,2025-09-14 08:30:00,Line_1,0 & 12,31
Lot_29,2025-09-14 09:40:00,2025-09-14 10:10:00,Line_1,12 & 19,6
Lot_49,2025-09-14 10:30:00,2025-09-14 11:00:00,Line_1,20 & 22,4
Lot_48,2025-09-14 11:10:00,2025-09-14 11:40:00,Line_1,12 & 19,6
Lot_47,2025-09-14 11:50:00,2025-09-14 12:20:00,Line_1,5 & 20,11
Lot_59,2025-09-14 12:30:00,2025-09-14 13:00:00,Line_1,13 & 27,25
Lot_37,2025-09-14 13:10:00,2025-09-14 13:40:00,Line_1,1 & 10,0
Lot_96,2025-09-14 13:50:00,2025-09-14 14:20:00,Line_1,0 & 12,31
Lot_27,2025-09-14 15:00:00,2025-09-14 15:30:00,Line_1,25 & 26,5
Lot_22,2025-09-14 16:30:00,2025-09-14 17:00:00,Line_1,8 & 25,12
Lot_53,2025-09-14 08:20:00,2025-09-14 08:50:00,Line_10,8 & 25,12
Lot_7,2025-09-14 09:30:00,2025-09-14 10:00:00,Line_10,25 & 26,5
Lot_16,2025-09-14 10:20:00,2025-09-14 10:50:00,Line_10,20 & 22,4
Lot_18,2025-09-14 10:50:00,2025-09-14 11:20:00,Line_10,20 & 22,4
Lot_56,2025-09-14 11:40:00,2025-09-14 12:10:00,Line_10,3 & 14,24
Lot_25,2025-09-14 12:20:00,2025-09-14 12:50:00,Line_10,12 & 19,6
Lot_13,2025-09-14 13:50:00,2025-09-14 14:20:00,Line_10,10 & 28,10
Lot_55,2025-09-14 14:30:00,2025-09-14 15:00:00,Line_10,16 & 25,19
Lot_38,2025-09-14 15:30:00,2025-09-14 16:00:00,Line_10,7 & 20,17
Lot_4,2025-09-14 16:30:00,2025-09-14 17:00:00,Line_10,9 & 23,3
Lot_3,2025-09-14 08:10:00,2025-09-14 08:40:00,Line_11,13 & 17,2
Lot_57,2025-09-14 09:10:00,2025-09-14 09:40:00,Line_11,4 & 28,20
Lot_20,2025-09-14 09:50:00,2025-09-14 10:20:00,Line_11,13 & 17,2
Lot_32,2025-09-14 10:40:00,2025-09-14 11:10:00,Line_11,12 & 19,6
Lot_33,2025-09-14 11:20:00,2025-09-14 11:50:00,Line_11,9 & 18,16
Lot_23,2025-09-14 12:00:00,2025-09-14 12:30:00,Line_11,14 & 27,1
Lot_12,2025-09-14 13:30:00,2025-09-14 14:00:00,Line_11,17 & 24,9
Lot_8,2025-09-14 14:10:00,2025-09-14 14:40:00,Line_11,14 & 27,1
Lot_24,2025-09-14 14:50:00,2025-09-14 15:20:00,Line_11,15 & 20,13
Lot_2,2025-09-14 15:50:00,2025-09-14 16:20:00,Line_11,14 & 27,1
Lot_10,2025-09-14 16:30:00,2025-09-14 17:00:00,Line_11,3 & 29,7
Lot_93,2025-09-14 08:30:00,2025-09-14 09:00:00,Line_2,0 & 19,27
Lot_46,2025-09-14 09:40:00,2025-09-14 10:10:00,Line_2,6 & 25,14
Lot_26,2025-09-14 10:50:00,2025-09-14 11:20:00,Line_2,10 & 28,10
Lot_45,2025-09-14 12:10:00,2025-09-14 12:40:00,Line_2,20 & 22,4
Lot_68,2025-09-14 13:10:00,2025-09-14 13:40:00,Line_2,26 & 27,21
Lot_9,2025-09-14 14:00:00,2025-09-14 14:30:00,Line_2,12 & 19,6
Lot_92,2025-09-14 16:30:00,2025-09-14 17:00:00,Line_2,5 & 20,11
Lot_91,2025-09-14 08:40:00,2025-09-14 09:10:00,Line_3,0 & 12,31
Lot_90,2025-09-14 09:50:00,2025-09-14 10:20:00,Line_3,14 & 27,1
Lot_28,2025-09-14 11:50:00,2025-09-14 12:20:00,Line_3,6 & 25,14
Lot_44,2025-09-14 12:40:00,2025-09-14 13:10:00,Line_3,16 & 25,19
Lot_89,2025-09-14 14:50:00,2025-09-14 15:20:00,Line_3,4 & 15,26
Lot_88,2025-09-14 16:30:00,2025-09-14 17:00:00,Line_3,7 & 8,22
Lot_87,2025-09-14 08:10:00,2025-09-14 08:40:00,Line_4,11 & 17,29
Lot_15,2025-09-14 08:50:00,2025-09-14 09:20:00,Line_4,13 & 17,2
Lot_43,2025-09-14 09:30:00,2025-09-14 10:00:00,Line_4,4 & 28,20
Lot_34,2025-09-14 11:00:00,2025-09-14 11:30:00,Line_4,5 & 10,15
Lot_42,2025-09-14 12:20:00,2025-09-14 12:50:00,Line_4,8 & 25,12
Lot_86,2025-09-14 13:10:00,2025-09-14 13:40:00,Line_4,4 & 15,26
Lot_0,2025-09-14 15:10:00,2025-09-14 15:40:00,Line_4,1 & 10,0
Lot_85,2025-09-14 16:30:00,2025-09-14 17:00:00,Line_4,4 & 28,20
Lot_84,2025-09-14 08:10:00,2025-09-14 08:40:00,Line_5,1 & 6,8
Lot_40,2025-09-14 09:20:00,2025-09-14 09:50:00,Line_5,16 & 25,19
Lot_83,2025-09-14 10:10:00,2025-09-14 10:40:00,Line_5,1 & 6,8
