No,名称,住所,積卸
1,NES本社ビル,東京都江東区新木場1-18-7,積
2,北海道支社,北海道札幌市北区北8条西3-28,卸
3,東北支社,宮城県仙台市青葉区中央3-5-17,積
4,青森センター,青森県青森市本町1-2-15,卸
5,秋田センター,秋田県秋田市山王2-1-43,積
6,山形センター,山形県山形市十日町2-4-19,卸
7,玉川事業所,神奈川県川崎市中原区下沼部1753,積
8,府中事業所,東京都府中市日新町1-10,卸
9,大宮センター,埼玉県さいたま市大宮区桜木町1-10-17,積
10,新潟センター,新潟県新潟市中央区明石1-2-26,卸
11,長野センター,長野県長野市鶴賀1415,積
12,東海支社,愛知県名古屋市中区錦1-17-1,卸
13,静岡センター,静岡県静岡市葵区追手町5-4,積
14,北陸支社,石川県金沢市広岡3-3-11,卸
15,富山センター,富山県富山市牛島新町5-5,積
16,関西支社,大阪府大阪市中央区城見1-4-24,卸
17,神戸センター,兵庫県神戸市西区高塚台5-3-1,積
18,白浜センター,和歌山県西牟婁郡白浜町2998-119,積
19,西日本支社,広島県広島市中区八丁堀16-11,卸
20,岡山センター,岡山県岡山市北区桑田町18-21,積
21,松山センター,愛媛県松山市味酒町1-3,卸
22,高松センター,香川県高松市林町2217-3,積
23,九州支社,福岡県福岡市中央区天神1-10-20,卸
